exp_tag,steps,scale,decay,tp,fp,fn,precision,recall,f1,avg_iou,mean_best_iog,coverage_iog50,coverage_iog80,coverage_iog95,mean_best_iou_gt
steps300_scale0.5_decay0.01,300,0.5,0.01,4,4,42,0.5,0.08695652173913043,0.14814814814814817,0.6883416992574303,0.6680250529152337,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.10698985084337671
steps450_scale0.5_decay0.01,450,0.5,0.01,3,6,43,0.3333333333333333,0.06521739130434782,0.10909090909090909,0.7354061266454105,0.6723113333282685,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.10757322072238938
steps900_scale0.5_decay0.01,900,0.5,0.01,3,8,43,0.2727272727272727,0.06521739130434782,0.10526315789473684,0.7204996703682213,0.6715494613432214,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10573197705490944
steps1800_scale0.5_decay0.01,1800,0.5,0.01,3,3,43,0.5,0.06521739130434782,0.11538461538461539,0.7402613567727897,0.6663161828770102,0.7096774193548387,0.6129032258064516,0.5161290322580645,0.09607430169025279
steps3600_scale0.5_decay0.01,3600,0.5,0.01,2,4,44,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.6715198653685437,0.6764884669465488,0.7096774193548387,0.6451612903225806,0.5483870967741935,0.0756467039570817
steps5400_scale0.5_decay0.01,5400,0.5,0.01,1,4,45,0.2,0.021739130434782608,0.0392156862745098,0.5124621927023871,0.7933427924665197,0.8064516129032258,0.7741935483870968,0.6774193548387096,0.05660750965718025
steps7200_scale0.5_decay0.01,7200,0.5,0.01,1,6,45,0.14285714285714285,0.021739130434782608,0.03773584905660378,0.5188009456589864,0.9734831029426458,1.0,0.967741935483871,0.8387096774193549,0.054815767164233614
steps9000_scale0.5_decay0.01,9000,0.5,0.01,1,4,45,0.2,0.021739130434782608,0.0392156862745098,0.509573489874393,0.9816805373628787,1.0,0.967741935483871,0.9354838709677419,0.045064125745054404
steps300_scale1_decay0.01,300,1.0,0.01,3,9,43,0.25,0.06521739130434782,0.10344827586206896,0.7568586414673747,0.6613266557388688,0.7096774193548387,0.6129032258064516,0.41935483870967744,0.11026659635691774
steps450_scale1_decay0.01,450,1.0,0.01,3,3,43,0.5,0.06521739130434782,0.11538461538461539,0.7685907626836815,0.6624656332166188,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.1127083755618786
steps900_scale1_decay0.01,900,1.0,0.01,3,4,43,0.42857142857142855,0.06521739130434782,0.11320754716981131,0.7560563165236761,0.6776126202424619,0.7096774193548387,0.6451612903225806,0.5161290322580645,0.10150815617199235
steps1800_scale1_decay0.01,1800,1.0,0.01,2,4,44,0.3333333333333333,0.043478260869565216,0.07692307692307691,0.6773515675963966,0.9766218588749672,1.0,0.967741935483871,0.8709677419354839,0.0731021737227992
steps3600_scale1_decay0.01,3600,1.0,0.01,1,5,45,0.16666666666666666,0.021739130434782608,0.03846153846153846,0.587039985221551,0.9791093147762482,1.0,0.967741935483871,0.9032258064516129,0.053544550867605636
steps5400_scale1_decay0.01,5400,1.0,0.01,1,4,45,0.2,0.021739130434782608,0.0392156862745098,0.5679800263458953,0.9779504953977606,1.0,0.967741935483871,0.8387096774193549,0.05016886490174707
steps7200_scale1_decay0.01,7200,1.0,0.01,1,5,45,0.16666666666666666,0.021739130434782608,0.03846153846153846,0.5746866335472873,0.9781104450679298,1.0,0.967741935483871,0.8709677419354839,0.04953875026615974
steps9000_scale1_decay0.01,9000,1.0,0.01,1,5,45,0.16666666666666666,0.021739130434782608,0.03846153846153846,0.5768855127864443,0.9819280976953105,1.0,0.967741935483871,0.9032258064516129,0.05122935095818451
steps300_scale1.5_decay0.01,300,1.5,0.01,3,7,43,0.3,0.06521739130434782,0.10714285714285714,0.769694845507988,0.6722163260976841,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.11275946268188113
steps450_scale1.5_decay0.01,450,1.5,0.01,3,6,43,0.3333333333333333,0.06521739130434782,0.10909090909090909,0.7636143277631205,0.6688875105282672,0.7096774193548387,0.6129032258064516,0.4838709677419355,0.11220538912566043
steps900_scale1.5_decay0.01,900,1.5,0.01,3,5,43,0.375,0.06521739130434782,0.11111111111111109,0.7592572312112793,0.677198013829292,0.7096774193548387,0.6451612903225806,0.4838709677419355,0.10083507659465427
steps1800_scale1.5_decay0.01,1800,1.5,0.01,2,5,44,0.2857142857142857,0.043478260869565216,0.07547169811320756,0.6409419040938094,0.9196504974462236,0.967741935483871,0.9032258064516129,0.7419354838709677,0.07631318656277847
steps3600_scale1.5_decay0.01,3600,1.5,0.01,1,4,45,0.2,0.021739130434782608,0.0392156862745098,0.5912717676264259,0.9779843640458691,1.0,0.967741935483871,0.9032258064516129,0.05533799349233577
steps5400_scale1.5_decay0.01,5400,1.5,0.01,1,4,45,0.2,0.021739130434782608,0.0392156862745098,0.5856404736283516,0.9831342295979442,1.0,0.967741935483871,0.9032258064516129,0.05174376198735408
steps7200_scale1.5_decay0.01,7200,1.5,0.01,1,4,45,0.2,0.021739130434782608,0.0392156862745098,0.5892361470125167,0.9810109979404211,1.0,0.967741935483871,0.9032258064516129,0.05093063287195455
steps9000_scale1.5_decay0.01,9000,1.5,0.01,1,5,45,0.16666666666666666,0.021739130434782608,0.03846153846153846,0.5771855817745276,0.9807159260485283,1.0,0.967741935483871,0.8709677419354839,0.05001131729580915
steps300_scale0.5_decay0.05,300,0.5,0.05,4,7,42,0.36363636363636365,0.08695652173913043,0.14035087719298245,0.692521816630108,0.6603703764172901,0.6774193548387096,0.6451612903225806,0.5161290322580645,0.10889214779713469
