exp_tag,steps,scale,decay,tp,fp,fn,precision,recall,f1,avg_iou,mean_best_iog,coverage_iog50,coverage_iog80,coverage_iog95,mean_best_iou_gt
steps300_scale0.5_decay0.01,300,0.5,0.01,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps450_scale0.5_decay0.01,450,0.5,0.01,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps900_scale0.5_decay0.01,900,0.5,0.01,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps1800_scale0.5_decay0.01,1800,0.5,0.01,0,3,7,0.0,0.0,0,0,0.06596509541083115,0.0,0.0,0.0,0.00032515205845306497
steps3600_scale0.5_decay0.01,3600,0.5,0.01,0,4,7,0.0,0.0,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0003990859622290298
steps5400_scale0.5_decay0.01,5400,0.5,0.01,0,7,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.000359277881271575
steps7200_scale0.5_decay0.01,7200,0.5,0.01,0,8,7,0.0,0.0,0,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.00047765751511697743
steps9000_scale0.5_decay0.01,9000,0.5,0.01,0,8,7,0.0,0.0,0,0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.00015985904634360242
steps300_scale1_decay0.01,300,1.0,0.01,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps450_scale1_decay0.01,450,1.0,0.01,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps900_scale1_decay0.01,900,1.0,0.01,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps1800_scale1_decay0.01,1800,1.0,0.01,0,3,7,0.0,0.0,0,0,0.13842995000420447,0.14285714285714285,0.0,0.0,0.01883580237523674
steps3600_scale1_decay0.01,3600,1.0,0.01,0,4,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0005220883886477017
steps5400_scale1_decay0.01,5400,1.0,0.01,0,5,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.00041922519895873687
steps7200_scale1_decay0.01,7200,1.0,0.01,0,9,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.00032884719723134736
steps9000_scale1_decay0.01,9000,1.0,0.01,0,7,7,0.0,0.0,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0002354215492620961
steps300_scale1.5_decay0.01,300,1.5,0.01,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps450_scale1.5_decay0.01,450,1.5,0.01,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps900_scale1.5_decay0.01,900,1.5,0.01,0,2,7,0.0,0.0,0,0,0.023484952883360024,0.0,0.0,0.0,0.0021442700038841003
steps1800_scale1.5_decay0.01,1800,1.5,0.01,0,2,7,0.0,0.0,0,0,0.09880685425312603,0.14285714285714285,0.0,0.0,0.0003307292762525336
steps3600_scale1.5_decay0.01,3600,1.5,0.01,0,4,7,0.0,0.0,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0004220053467585367
steps5400_scale1.5_decay0.01,5400,1.5,0.01,0,5,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0003614967659808589
steps7200_scale1.5_decay0.01,7200,1.5,0.01,0,11,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.00032383412398774103
steps9000_scale1.5_decay0.01,9000,1.5,0.01,0,10,7,0.0,0.0,0,0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0001741539821511556
steps300_scale0.5_decay0.05,300,0.5,0.05,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps450_scale0.5_decay0.05,450,0.5,0.05,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps900_scale0.5_decay0.05,900,0.5,0.05,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps1800_scale0.5_decay0.05,1800,0.5,0.05,0,3,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0003895381618275873
steps3600_scale0.5_decay0.05,3600,0.5,0.05,0,3,7,0.0,0.0,0,0,0.1630173855006186,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0002957976631384063
steps5400_scale0.5_decay0.05,5400,0.5,0.05,0,4,7,0.0,0.0,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0005006196848615243
steps7200_scale0.5_decay0.05,7200,0.5,0.05,0,3,7,0.0,0.0,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.00037721638394652804
steps9000_scale0.5_decay0.05,9000,0.5,0.05,0,4,7,0.0,0.0,0,0,0.400552625824127,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.00038544786132799067
steps300_scale1_decay0.05,300,1.0,0.05,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
steps450_scale1_decay0.05,450,1.0,0.05,0,1,7,0.0,0.0,0,0,3.613149296940376e-05,0.0,0.0,0.0,3.613149296940376e-05
steps900_scale1_decay0.05,900,1.0,0.05,0,1,7,0.0,0.0,0,0,0.006913295899707161,0.0,0.0,0.0,0.00042868277245621856
steps1800_scale1_decay0.05,1800,1.0,0.05,0,1,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0003895381618275873
steps3600_scale1_decay0.05,3600,1.0,0.05,0,4,7,0.0,0.0,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00027025374863636436
steps5400_scale1_decay0.05,5400,1.0,0.05,0,3,7,0.0,0.0,0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0005614217274172025
steps7200_scale1_decay0.05,7200,1.0,0.05,0,4,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0004362436650182477
steps9000_scale1_decay0.05,9000,1.0,0.05,0,6,7,0.0,0.0,0,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0004467983632293786
steps300_scale1.5_decay0.05,300,1.5,0.05,0,0,7,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
